PATIENT_ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME,SYNTHEA_CITY
1229692,2008-06-13,,999-83-7913,S99931007,,,Man,Ira,Botsford,,,,white,nonhispanic,M,Miami  Florida  US,482 Kuhlman Course Suite 16,Tampa,Florida,Hillsborough County,12057,33609,28.10877747646582,-82.36814899049874,70609.86,0.0,40591,TAMPA
1229693,1973-08-24,1990-02-10,999-10-2774,S99985632,,,Michale,,O'Conner,,,,white,nonhispanic,M,Fort Pierce  Florida  US,910 Considine Vale,Tampa,Florida,Hillsborough County,12057,33603,28.06414376483995,-82.58264745575441,4054.88,136125.13,5900,TAMPA
1229694,2021-02-01,,999-10-7433,,,,Elden,Leif,Witting,,,,white,nonhispanic,M,Parkland  Florida  US,656 Beahan Approach,Tampa,Florida,Hillsborough County,12057,33618,27.903363628152153,-82.41373161297804,9440.58,0.0,59286,TAMPA
1229695,1990-10-02,,999-36-5939,S99962370,X27406472X,Mr.,Bryant,Javier,Schultz,,,M,white,nonhispanic,M,Jacksonville  Florida  US,900 Smith Byway,Tampa,Florida,Hillsborough County,12057,33618,27.963320972288535,-82.54374222562912,56237.33,41404.48,46582,TAMPA
1229696,1984-03-02,,999-78-8703,S99937665,X20590780X,Mrs.,Jama,Susy,Rolfson,,Champlin,M,white,nonhispanic,F,Alafaya  Florida  US,614 Parker Well Suite 98,Tampa,Florida,Hillsborough County,12057,33616,28.040198277287764,-82.54950559286321,265109.35,302665.84,127758,TAMPA
1229697,1989-11-22,,999-94-1500,S99949041,X62960541X,Mrs.,Son,Hilde,Langosh,,Conn,M,white,nonhispanic,F,Seminole  Florida  US,423 Walsh Green,Tampa,Florida,Hillsborough County,12057,33615,27.914497982921404,-82.45397749627395,63549.03,616641.02,58922,TAMPA
1229698,1978-02-16,,999-48-1139,S99965877,X52665696X,Mr.,Shaun,Lucien,Kessler,,,M,white,hispanic,M,Plant City  Florida  US,747 Gerlach Mall Unit 48,Tampa,Florida,Hillsborough County,12057,33611,28.02839450296178,-82.54274171064834,102148.47,91332.95,25636,TAMPA
1229699,1971-08-05,,999-16-5511,S99939194,X64634006X,Mr.,Fidel,Jaime,Williamson,,,S,white,nonhispanic,M,Fort Lauderdale  Florida  US,407 Padberg Arcade Suite 79,Tampa,Florida,Hillsborough County,12057,33615,27.885202055764335,-82.4754146241829,279452.25,0.0,64829,TAMPA
1229700,2022-10-02,,999-92-7052,,,,Omar,Roderick,Harris,,,,white,nonhispanic,M,Dania Beach  Florida  US,386 D'Amore Mission,Tampa,Florida,Hillsborough County,12057,33619,28.083597149259113,-82.3520664229749,343.74,7003.0,32603,TAMPA
1229701,1971-01-05,,999-31-3818,S99919981,X47618804X,Mrs.,Gwenda,Lanelle,Romaguera,,Goyette,W,white,nonhispanic,F,Oakleaf Plantation  Florida  US,803 D'Amore Common,Tampa,Florida,Hillsborough County,12057,33606,27.924253391542006,-82.41657122561674,221878.6,651668.63,20528,TAMPA
1229702,1992-12-18,,999-11-6008,S99960465,X34383761X,Ms.,María Elena,,Abeyta,,,S,white,hispanic,F,Carolina  Puerto Rico  PR,318 Zboncak Fort Apt 97,Tampa,Florida,Hillsborough County,12057,33602,27.97245245704822,-82.51031369914617,194479.39,680423.34,35200,TAMPA
1229703,1978-02-14,,999-82-8815,S99934277,X55595200X,Mr.,Francisco,,Crespo,,,M,white,hispanic,M,Santiago  Santiago Province  CL,701 Steuber Ville Apt 86,Tampa,Florida,Hillsborough County,12057,33607,28.030642207506226,-82.43505516050963,142330.8,1021235.28,685403,TAMPA
