PROVIDER_ID,ORGANIZATION_ID,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES,SYNTHEA_CITY
3057300,1000200,Lena Schowalter,F,GENERAL PRACTICE,5001 MAYFIELD RD  SUITE 105,LYNDHURST,OH,441242608,41.5204848,-81.4995046,1007191,0,CLEVELAND
3057301,1000201,Sun Kulas,F,GENERAL PRACTICE,19530 BAGLEY RD,MIDDLEBURG HEIGHTS,OH,441303326,41.372393897959185,-81.83987842857142,260,0,CLEVELAND
3057302,1000202,Chi Littel,M,GENERAL PRACTICE,23333 HARVARD ROAD,BEACHWOOD,OH,441226232,41.4497636,-81.4918372,307734,0,CLEVELAND
3057303,1000203,Hubert Schinner,M,GENERAL PRACTICE,23225 LORAIN RD,NORTH OLMSTED,OH,440701624,41.43581117053507,-81.8774149790419,485,0,CLEVELAND
3057304,1000204,Harry Mitchell,M,GENERAL PRACTICE,2400 SUPERIOR AVE E,BEACHWOOD,OH,441225806,41.464498,-81.508732,94417,0,CLEVELAND
3057305,1000205,Lorena Luettgen,F,GENERAL PRACTICE,250 S CHESTNUT ST,LAKEWOOD,OH,441072570,41.4819932,-81.7981908,127107,0,CLEVELAND
3057306,1000206,Tommie Schumm,M,GENERAL PRACTICE,20265 EMERY RD,NORTH RANDALL,OH,441284122,41.435217414404484,-81.5371490583658,2375,0,CLEVELAND
3057307,1000207,Eleonora Nienow,F,GENERAL PRACTICE,13315 DETROIT AVE,LAKEWOOD,OH,441072849,41.48478075,-81.78237441666667,1154,0,CLEVELAND
3057308,1000208,Brady Ernser,M,GENERAL PRACTICE,3929 ROCKY RIVER DR,CLEVELAND,OH,441114153,41.4479792,-81.81705987475824,379827,0,CLEVELAND
3057309,1000209,Emmie Abbott,F,GENERAL PRACTICE,195 WADSWORTH RD,WALTON HILLS,OH,441465345,41.36561,-81.561232,98786,0,CLEVELAND
3057310,1000210,Phuong Nader,F,GENERAL PRACTICE,21500 LORAIN RD,FAIRVIEW PARK,OH,441263302,41.443273,-81.859802,202836,0,CLEVELAND
3057311,1000211,Torie Cartwright,F,GENERAL PRACTICE,3733 PARK EAST DRIVE,BEACHWOOD,OH,441224334,41.4587815,-81.4934746,323,0,CLEVELAND
3057312,1000212,Isreal Kihn,M,GENERAL PRACTICE,4110 WARRENSVILLE CENTER RD,WARRENSVILLE HEIGHTS,OH,441226805,41.446894134857814,-81.53620246505221,1500601,0,CLEVELAND
3057313,1000213,María Teresa Menéndez,F,GENERAL PRACTICE,2500 METROHEALTH DR,CLEVELAND,OH,441091900,41.46041015,-81.69794784319515,2548297,0,CLEVELAND
3057314,1000214,Mario Christiansen,F,GENERAL PRACTICE,16500 SPRAGUE ROAD  SUITE C,MIDDLEBURG HEIGHTS,OH,441306315,41.35080520376712,-81.81054149657534,63203,0,CLEVELAND
3057315,1000215,Genie Howe,F,GENERAL PRACTICE,811 PROSPECT AVE E STE 200,CLEVELAND,OH,441151111,41.4989615,-81.6870015,78122,0,CLEVELAND
3057316,1000216,Grace O'Kon,F,GENERAL PRACTICE,5333 NORTHFIELD RD STE 301,BEDFORD HEIGHTS,OH,441461186,41.4235339,-81.5273537,484,0,CLEVELAND
3057317,1000217,Perry Feest,M,GENERAL PRACTICE,5209 DETROIT AVE,CLEVELAND,OH,441022224,41.4857677,-81.7230201,131670,0,CLEVELAND
3057318,1000218,Phung Rowe,F,GENERAL PRACTICE,1601 W 117TH ST,CLEVELAND,OH,441075254,41.47886104131168,-81.76867074006722,4693,0,CLEVELAND
3057319,1000219,Steve Rohan,M,GENERAL PRACTICE,5310 1/2 Warrensville Center Rd,Maple Heights,OH,44137,41.41617,-81.53732,2390762,0,CLEVELAND
3057320,1000220,Layla Zemlak,F,GENERAL PRACTICE,2351 E 22ND ST,SOLON,OH,441392864,41.3897764,-81.4412259,775,0,CLEVELAND
3057321,1000221,Zandra Mann,F,GENERAL PRACTICE,19900 CLARE AVE,MAPLE HEIGHTS,OH,441371806,41.419694010033446,-81.5394397826087,2533,0,CLEVELAND
3057322,1000222,Lorena Gaytán,F,GENERAL PRACTICE,6780 MAYFIELD RD,MAYFIELD HTS,OH,441242271,41.51901615,-81.43568854127886,284062,0,CLEVELAND
3057323,1000223,Diana Cerda,F,GENERAL PRACTICE,819 ROCKSIDE ROAD,SEVEN HILLS,OH,441311778,41.4038195,-81.6740845,24658,0,CLEVELAND
3057324,1000224,Rosena O'Conner,F,GENERAL PRACTICE,4568 MAYFIELD RD STE 205,SOUTH EUCLID,OH,441214050,41.519821,-81.51521133333334,760,0,CLEVELAND
3057325,1000225,Jordon Langworth,M,GENERAL PRACTICE,15644 MADISON AVE STE 216,LAKEWOOD,OH,441075622,41.4772236,-81.8070943,5883,0,CLEVELAND
3057326,1000226,Genia Carter,F,GENERAL PRACTICE,14900 PRIVATE DR,EAST CLEVELAND,OH,441123470,41.530814,-81.5730987,5368,0,CLEVELAND
3057327,1000227,Tilda Klocko,F,GENERAL PRACTICE,7580 NORTHCLIFF AVE,STRONGSVILLE,OH,441366038,41.3144733,-81.83511,98414,0,CLEVELAND
3057328,1000228,Ellamae O'Conner,F,GENERAL PRACTICE,4120 INTERCHANGE CORPORATE CENTER ROAD,WARRENSVILLE HEIGHTS,OH,441285631,41.4323878,-81.5105218,67234,0,CLEVELAND
3057329,1000229,Anibal Auer,M,GENERAL PRACTICE,7040 HEPBURN RD,MIDDLEBURG HEIGHTS,OH,441304802,41.37601085,-81.83278332693833,1228,0,CLEVELAND
3057330,1000230,Lance Reynolds,M,GENERAL PRACTICE,7201 WADE PARK,CLEVELAND,OH,441032765,41.515666,-81.63889516666666,267029,0,CLEVELAND
